"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"CAB61635.1"	"AJ251239.1"	"FONA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAB61637.1"	"AJ251240.1"	"FONA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAB61639.1"	"AJ251241.1"	"FONA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAB61641.1"	"AJ251242.1"	"FONA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAB61643.1"	"AJ251243.1"	"FONA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAB61645.1"	"AJ251244.1"	"FONA beta-lactamase"	"penam"	"antibiotic inactivation"
"AAG04518.1"	"AE004091.2"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"ACC85616.1"	"EU487198"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"AEG78825.1"	"JF411006"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"BAP18892.1"	"AB908992"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"AJE60855.1"	"KP143090.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"AMQ12811.1"	"KU254579.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"KKE03230.1"	"LAPJ01000014.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"ANQ03635.1"	"CP015912.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"AAP08996.1"	"AE016877.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"BAE05988.1"	"AP006717.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"AAP27834.1"	"AE016879.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"ADX95999.1"	"HQ219726"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"ALM24139.1"	"KR870311.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"ALN12426.1"	"KT032253.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"ALM24145.1"	"KR870314.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"CAA83855.1"	"Z33413"	"fosC phosphotransferase family"	"fosfomycin"	"antibiotic inactivation"
"BAJ10053.1"	"AB522969"	"fosC phosphotransferase family"	"fosfomycin"	"antibiotic inactivation"
"BAG12271.1"	"AB304512.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"BAO79518.1"	"AB917040"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"QHR93773.1"	"MN464149.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"CWV56762.1"	"FFFO01000009.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"CAA54602.1"	"X77455"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AGE45503.1"	"JX049131"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"CAA71325.1"	"Y10282"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"CAA71947.1"	"Y11068"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"CAB89086.1"	"AJ277535"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AAG12974.1"	"AY007369"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"CAG28256.1"	"AJ703795"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"ADK73994.1"	"HM565917"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AEK78851.1"	"JF896803"	"FOX beta-lactamase"	"cephalosporin;cephamycin"	"antibiotic inactivation"
"AJI75632.1"	"CP010019.1"	"FPH beta-lactamase"	"penam"	"antibiotic inactivation"
"ALE30770.1"	"KT192551.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"ANZ90381.1"	"KX620467.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"AQS23610.1"	"KY524440.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"BAX00166.1"	"LC178555.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"AWA42532.1"	"MH208723.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"AZK35806.1"	"MK248729.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"BBI97867.1"	"AP019534.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"BBJ69931.1"	"AP019635.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"BBJ65425.1"	"AP019633.1"	"FRI beta-lactamase"	"penam"	"antibiotic inactivation"
"ADA78299.1"	"CP001633.1"	"FTU beta-lactamase"	"penam"	"antibiotic inactivation"
"AAL12234.1"	"AY047358"	"Target protecting FusB-type protein conferring resistance to Fusidic acid"	"fusidic acid"	"antibiotic target protection"
"CAG41812.1"	"BX571857.1"	"Target protecting FusB-type protein conferring resistance to Fusidic acid"	"fusidic acid"	"antibiotic target protection"
"ASE57902.1"	"CP022056.2"	"Target protecting FusB-type protein conferring resistance to Fusidic acid"	"fusidic acid"	"antibiotic target protection"
"AVL76727.1"	"CP027422.1"	"Target protecting FusB-type protein conferring resistance to Fusidic acid"	"fusidic acid"	"antibiotic target protection"
"CAA90432.1"	"Z50108"	"fusidic acid inactivation enzyme"	"fusidic acid"	"antibiotic inactivation"
"ANK04027.1"	"CP015085.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;penam"	"antibiotic efflux"
"BAE77778.1"	"AP009048.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;penam"	"antibiotic efflux"
"AAF27723.1"	"AF156486"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACS73598.1"	"FJ820124"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACS44714.1"	"FJ854362"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CBG22732.1"	"FN554543"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACZ54536.1"	"GU169702"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADC91899.1"	"GU207844"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACZ98826.1"	"GU208678"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADJ94120.1"	"HM173356"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ADZ48685.1"	"HQ874631"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEX59144.1"	"JQ028729"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEZ05107.1"	"JN596280"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAK58421.1"	"AF326355"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEZ05108.1"	"JN596280"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFK80745.1"	"JQ772478"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFU25739.1"	"JX023441"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AGT20529.1"	"KF179354"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAP75641.1"	"AB901141"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AJP67510.1"	"KP096411"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAD06399.1"	"AB113580"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAD08689.1"	"AB116260"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAR97270.1"	"AY494717"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAR97271.1"	"AY494718"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAP22974.1"	"AY260546"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAK18183.1"	"AF329699"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAY43207.1"	"AY920928"	"GES beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAF05908.1"	"AJ620678"	"GIM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"AIY26289.1"	"KM659858"	"GIM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA11707.1"	"AJ223970"	"gimA family macrolide glycosyltransferase"	"macrolide antibiotic"	"antibiotic inactivation"
"AAF04458.1"	"AF090141"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT68577.1"	"AY647247.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT68578.1"	"AY647248.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT68579.1"	"AY647249.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT68580.1"	"AY647250.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT68582.1"	"AY647252.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAV65595.1"	"AY775547.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACZ72746.1"	"GU188443.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAY53478.1"	"DQ004496.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF89152.1"	"AF189296.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF89147.1"	"AF189291.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF89149.1"	"AF189293.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF89146.1"	"AF189290.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF89148.1"	"AF189292.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF89153.1"	"AF189297.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAQ54756.1"	"AY348327.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT68576.1"	"AY647246.1"	"GOB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAL19308.1"	"AE006468.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic"	"antibiotic efflux"
"AWB15813.1"	"MH211206.1"	"GPC beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AAC22787.1"	"L42023.1"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"N/A"	"antibiotic target alteration"
"CBW16027.1"	"FQ312002.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"WP_041918279.1"	"NC_015964.1"	"fluoroquinolone resistant parC"	"N/A"	"antibiotic target alteration"
"N/A"	"X03407.1"	"23S rRNA with mutation conferring resistance to phenicol antibiotics"	"phenicol antibiotic"	"antibiotic target alteration"
"N/A"	"KY084523.1"	"16S rRNA with mutation conferring resistance to pactamycin"	"pactamycin"	"antibiotic target alteration"
"N/A"	"CP003904.1"	"16S rRNA with mutation conferring resistance to tetracycline derivatives"	"tetracycline antibiotic"	"antibiotic target alteration"
"N/A"	"AB162858.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"AAL26797.1"	"AF311385.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"AAL26995.1"	"AF398334.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"AAL26996.1"	"AF398335.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAD60968.1"	"AJ536088.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAD60969.1"	"AJ536089.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAD60970.1"	"AJ536090.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"CAD60972.1"	"AJ536092.1"	"HERA beta-lactamase"	"penam"	"antibiotic inactivation"
"AMY61250.1"	"KU961660"	"HMB beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"ADO96486.1"	"CP002276.1"	"multidrug and toxic compound extrusion (MATE) transporter"	"acridine dye;fluoroquinolone antibiotic"	"antibiotic efflux"
"BAB35162.1"	"BA000007.3"	"major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic"	"antibiotic efflux"
"AAD08227.1"	"AE000511.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic;nitroimidazole antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"NP_207975.1"	"NC_000915.1"	"multidrug and toxic compound extrusion (MATE) transporter"	"fluoroquinolone antibiotic;macrolide antibiotic;nitroimidazole antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"EGE18576.1"	"AERH01000018.1"	"intrinsic colistin resistant phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic target alteration"
"WP_082741435.1"	"NZ_CP014234.1"	"intrinsic colistin resistant phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic target alteration"
"QIB98918.1"	"MN985649.1"	"IDC beta-lactamase"	"carbapenem;cephalosporin"	"antibiotic inactivation"
"QIB98910.1"	"MN985646.1"	"IDC beta-lactamase"	"carbapenem;cephalosporin"	"antibiotic inactivation"
"AAA93461.1"	"U50278"	"IMI beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"ABA00479.1"	"DQ173429"	"IMI beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"ACX71212.1"	"GU015024"	"IMI beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AHE78014.1"	"KF958750"	"IMI beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AIS19858.1"	"KM103296"	"IMI beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AIY69088.1"	"KP081315.1"	"IMI beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"CAD69003.1"	"AJ548797"	"CphA beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"CAA71441.1"	"Y10415"	"CphA beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"CAA11471.1"	"AJ223604"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAB72069.1"	"AB074433"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAB72072.1"	"AB074436"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"CAD12765.1"	"AJ420864"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"CAD80251.1"	"AJ550807"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AAT49068.1"	"AY553332"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AAT49070.1"	"AY553333"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"CAE48334.1"	"AJ584652"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AEQ73520.1"	"JN596991"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"ABM67078.1"	"EF118171"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"CAB94707.1"	"AJ243491"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAD81061.1"	"AB196988"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAD89802.1"	"AB204557"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"ABC88434.1"	"DQ361087"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"ABM68358.1"	"EF192154"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"ACB41775.1"	"EU541448"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"ACY01749.1"	"GU045307"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AEH41427.1"	"JF894248"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AFG73659.1"	"JQ407409"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AFG25462.1"	"JQ041634"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAA77393.1"	"AB010417"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"ABF70513.1"	"DQ522237"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AGS82587.1"	"KF148593"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AFR33816.1"	"JQ002629"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AEU17778.1"	"JN848782"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAM38093.1"	"AB715422"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AFO59566.1"	"JF816544"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AFP97028.1"	"JX131372"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AEN75249.1"	"HQ875573"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AAK13078.1"	"AF244145"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAM62794.1"	"AB753457"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAM62795.1"	"AB753458"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAM62793.1"	"AB753456"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAM98935.1"	"AB777500"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"BAM98942.1"	"AB777501"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AIA58910.1"	"KJ510410"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AIT76110.1"	"KM087857"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AKO63210.1"	"KP681694"	"IMP beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
